SubCount,Category,LikeCount,LikeCountRounded,LikedOrDisliked,ViewCount,ViewCountRounded
31606619,10,1543020,1543000,Disliked,94578671,9457850000
31606619,10,239145,239000,Disliked,14904061,1490400000
31606619,10,1649099,1649000,Disliked,118341996,11834200000
31606619,10,1675203,1675000,Disliked,172181932,17218200000
31606619,10,6898548,6898500,Disliked,1123591490,1.12E+11
31606619,10,74065,74000,Liked,1653530,165350000
31606619,10,1736679,1736500,Disliked,224487268,22448750000
31606619,10,859469,859500,Disliked,52620452,5262050000
31606619,10,2690989,2691000,Disliked,364813893,36481400000
31606619,10,862787,863000,Disliked,117588705,11758850000
31606619,10,32365,32500,Liked,1437911,143800000
31606619,10,39229,39000,Liked,1844359,184450000
31606619,10,172223,172000,Liked,8372086,837200000
31606619,10,46937,47000,Disliked,2696892,269700000
31606619,10,48505,48500,Liked,3320117,332000000
31606619,10,421650,421500,Disliked,84647166,8464700000
31606619,10,520013,520000,Disliked,102013846,10201400000
31606619,10,324997,325000,Liked,52522909,5252300000
